activity_pga1,activity_pga2,activity_pga3,activity_q1,activity_q2,activity_q3,activity_q4,activity_q5,activity_q6,activity_vid_count,activity_vid_week_1,activity_vid_week_2,activity_vid_week_3,activity_vid_week_4,activity_vid_week_5,activity_vid_week_6,course_platform,course_name,activity_completed,activity_learner,activity_auditor,unique_user_id
0,0,0,0,0,0,0,0,0,110.0,19.0,23.0,33.0,17.0,7.0,9.0,COURSERA,INTRO Fall 2014,0,1,1,e6e98d1fcddb9cbe52649c672889c2b6
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,d1a809c8e19786a605891ac288509322
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,6d414aa9eee9a81c1ed2c4ada166b69d
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,637c274dcbec42f043c3e01c18abdc97
0,0,0,0,0,0,0,0,0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,43475051c12c9a86d3e94fbb6a84f687
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,fbf42c6ead0886c1e4f0359189f2f080
0,0,0,0,0,0,0,0,0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,552c4541c25de5579d66f7eec915277b
0,0,0,0,0,0,0,0,0,30.0,18.0,12.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,2f189d7b3d58c810fbeeaf4fac458665
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,5a9f288640028003af19373b85226fd7
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,88e61343c98ecc21a86cc2fa1cdbe00a
