unique_user_id,course_name,course_platform,QID334_p,QID355_p,QID389_p,QID383,QID354,QID699,QID601_1,QID601_2,QID601_3,QID601_4,QID601_6,QID601_15,QID601_16,QID373_11,QID373_12,QID373_13,QID373_14,QID373_15,QID373_16,QID373_17,QID373_21,QID373_22,QID373_9,QID387_25,QID387_27,QID387_28,QID387_30,QID387_32,QID387_34,QID387_37
5d35a96505360ecb8021c66d18272ede,INTRO Fall 2015,COURSERA,Other,False,yes,yes,yes,1.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,,2.0,4.0,2.0,,2.0,,,,4.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0
82a53cbeb480191bbbf4717754d8af54,INTRO Fall 2015,COURSERA,Post-doctoral researcher,False,yes,yes,yes,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0,4.0,4.0,,2.0,,2.0,2.0,,4.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0
ea5328b09d9c558df211acb19fcb26c8,INTRO Fall 2015,COURSERA,Other,True,no,yes,yes,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,4.0,3.0,2.0,,2.0,,,4.0,4.0,1.0,2.0,2.0,1.0,3.0,4.0,3.0
761c46d9b02e5efc62e76742cbe01ec7,INTRO Fall 2015,COURSERA,Doctoral student,False,yes,yes,yes,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,,3.0,1.0,4.0,3.0,4.0,1.0,,3.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0
cb19b8b6caf207839a6beb034aecf8dd,INTRO Fall 2015,COURSERA,Post-doctoral researcher,False,yes,yes,yes,1.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,3.0,4.0,,4.0,0.0,0.0,4.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0
ca97896d530c56dc6103c07e758c2cc4,INTRO Fall 2015,COURSERA,Post-doctoral researcher,True,yes,yes,yes,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,0.0,3.0,4.0,3.0,2.0,4.0,4.0,2.0,2.0,4.0,,3.0
7304979941c8583eabd9927977e2e961,INTRO Fall 2015,COURSERA,Other,False,no,yes,yes,1.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,4.0,1.0,,4.0,3.0,3.0,3.0,4.0,4.0,3.0,,4.0,4.0,3.0,,3.0
15e1d0668d9918f786cdcd8c64a6b94e,INTRO Fall 2015,COURSERA,Doctoral student,True,no,yes,yes,1.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,0.0,1.0,3.0,,,2.0,,1.0,4.0,3.0,4.0,,4.0,1.0,4.0,,4.0
0e16ae3d79609b9d8fec05b2f89624f3,INTRO Fall 2015,COURSERA,Doctoral student,False,no,yes,yes,2.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,,,1.0,,1.0,2.0,3.0,,,4.0,4.0,,,
4c19f8179a07e9b7b2f829db153cb377,INTRO Fall 2015,COURSERA,Other,False,no,yes,yes,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,,2.0,,1.0,,4.0,,,,,,,
b15275a2337d0f203a5b789ffa76044b,INTRO Fall 2015,COURSERA,,False,,yes,yes,2.0,2.0,2.0,,,2.0,,2.0,,2.0,2.0,,,1.0,,1.0,1.0,2.0,,,,,,,
8718f39600c4b79c4b4d14d0e8f2f342,INTRO Fall 2015,COURSERA,Doctoral student,True,,yes,yes,1.0,,,,,,,,,1.0,4.0,,,,,,,4.0,,,,,,,
89c3c32be8cfaef3a9c2c7d1e898b434,INTRO Fall 2015,COURSERA,Doctoral student,False,,yes,yes,2.0,,,,,,,,,4.0,,,,3.0,,,,1.0,,,,,,,
832f068b46ffc1e834dcf762ee8fcd3e,INTRO Fall 2015,COURSERA,Other,False,,,yes,,,,,,,,,,,,,,,,,,4.0,,,,,,,
f7939c15d4551b0e9cce25aab98f3fb5,INTRO Fall 2014,COURSERA,Doctoral student,False,no,no,yes,0.0,3.0,3.0,1.0,1.0,1.0,,,3.0,4.0,4.0,,,4.0,,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
d733397e3c84625d23ac938b56ca8167,INTRO Fall 2014,COURSERA,Doctoral student,False,no,no,yes,0.0,3.0,3.0,3.0,2.0,3.0,,,3.0,2.0,4.0,,,,,,4.0,4.0,3.0,4.0,3.0,0.0,4.0,4.0,1.0
359e9407cb20f8f351186bdbd255db66,INTRO Fall 2014,COURSERA,Faculty,False,no,yes,yes,1.0,3.0,3.0,2.0,2.0,3.0,,,4.0,,3.0,,,4.0,,,,4.0,3.0,1.0,4.0,3.0,4.0,4.0,3.0
e785cfc4e8aa143cd5685c208156ec78,INTRO Fall 2014,COURSERA,Faculty,False,yes,yes,yes,1.0,3.0,1.0,1.0,2.0,3.0,,,,2.0,3.0,,,,,,2.0,4.0,1.0,4.0,3.0,4.0,4.0,4.0,4.0
1a462af0e0b81456ca0181d6f3fc966f,INTRO Fall 2014,COURSERA,Other,False,no,yes,yes,0.0,3.0,2.0,3.0,2.0,2.0,,,2.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0
bb0aefe2b8a266411d7d6f4bcd8d95c5,INTRO Fall 2014,COURSERA,Other,False,no,yes,yes,2.0,3.0,3.0,3.0,3.0,3.0,,,3.0,3.0,2.0,,4.0,3.0,,2.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0
0fb3ae75b8ac31f9be8a7dbceb8bfdf4,INTRO Fall 2014,COURSERA,Post-doctoral researcher,False,no,yes,yes,2.0,2.0,3.0,2.0,0.0,3.0,,,,2.0,3.0,,,3.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0
